variable_name,#,Temp,Coupler Detached,Coupler Attached,Host Connected,Stopped,End Of File,Temp
2019-10-10 16:10:00,64,72.199,,,,,,22.33277777777778
2019-10-10 16:15:00,65,70.824,,,,,,21.56888888888889
2019-10-10 16:20:00,66,70.137,,,,,,21.18722222222222
2019-10-10 16:25:00,67,70.65100000000001,,,,,,21.472777777777782
2019-10-10 16:30:00,68,71.339,,,,,,21.855
2019-10-10 16:35:00,69,71.85600000000001,,,,,,22.142222222222227
2019-10-10 16:40:00,70,72.372,,,,,,22.428888888888892
2019-10-10 16:45:00,71,72.718,,,,,,22.621111111111116
2019-10-10 16:50:00,72,72.718,,,,,,22.621111111111116
2019-10-10 16:55:00,73,72.372,,,,,,22.428888888888892
2019-10-10 17:00:00,74,72.028,,,,,,22.237777777777783
2019-10-10 17:05:00,75,71.683,,,,,,22.046111111111113
2019-10-10 17:10:00,76,71.512,,,,,,21.95111111111111
2019-10-10 17:15:00,77,71.339,,,,,,21.855
2019-10-10 17:20:00,78,71.168,,,,,,21.760000000000005
2019-10-10 17:25:00,79,70.995,,,,,,21.66388888888889
2019-10-10 17:30:00,80,70.995,,,,,,21.66388888888889
2019-10-10 17:35:00,81,70.824,,,,,,21.56888888888889
2019-10-10 17:40:00,82,70.824,,,,,,21.56888888888889
2019-10-10 17:45:00,83,70.65100000000001,,,,,,21.472777777777782
2019-10-10 17:50:00,84,70.65100000000001,,,,,,21.472777777777782
2019-10-10 17:55:00,85,70.48,,,,,,21.37777777777778
2019-10-10 18:00:00,86,70.308,,,,,,21.282222222222224
2019-10-10 18:05:00,87,69.622,,,,,,20.901111111111113
2019-10-10 18:10:00,88,67.906,,,,,,19.94777777777778
2019-10-10 18:15:00,89,66.87899999999999,,,,,,19.377222222222215
2019-10-10 18:20:00,90,66.193,,,,,,18.99611111111111
2019-10-10 18:25:00,91,65.851,,,,,,18.80611111111111
2019-10-10 18:30:00,92,65.68,,,,,,18.711111111111116
2019-10-10 18:35:00,93,66.193,,,,,,18.99611111111111
2019-10-10 18:40:00,94,66.87899999999999,,,,,,19.377222222222215
2019-10-10 18:45:00,95,67.392,,,,,,19.66222222222222
2019-10-10 18:50:00,96,67.564,,,,,,19.757777777777775
2019-10-10 18:55:00,97,67.564,,,,,,19.757777777777775
2019-10-10 19:00:00,98,67.564,,,,,,19.757777777777775
2019-10-10 19:05:00,99,67.564,,,,,,19.757777777777775
2019-10-10 19:10:00,100,67.564,,,,,,19.757777777777775
2019-10-10 19:15:00,101,67.392,,,,,,19.66222222222222
2019-10-10 19:20:00,102,67.221,,,,,,19.567222222222224
2019-10-10 19:25:00,103,67.05,,,,,,19.47222222222222
2019-10-10 19:30:00,104,66.87899999999999,,,,,,19.377222222222215
2019-10-10 19:35:00,105,66.87899999999999,,,,,,19.377222222222215
2019-10-10 19:40:00,106,66.708,,,,,,19.28222222222222
2019-10-10 19:45:00,107,66.53699999999999,,,,,,19.187222222222218
2019-10-10 19:50:00,108,66.53699999999999,,,,,,19.187222222222218
2019-10-10 19:55:00,109,66.53699999999999,,,,,,19.187222222222218
2019-10-10 20:00:00,110,66.366,,,,,,19.09222222222222
2019-10-10 20:05:00,111,66.366,,,,,,19.09222222222222
2019-10-10 20:10:00,112,66.366,,,,,,19.09222222222222
2019-10-10 20:15:00,113,66.366,,,,,,19.09222222222222
2019-10-10 20:20:00,114,66.366,,,,,,19.09222222222222
2019-10-10 20:25:00,115,66.366,,,,,,19.09222222222222
2019-10-10 20:30:00,116,66.366,,,,,,19.09222222222222
2019-10-10 20:35:00,117,66.366,,,,,,19.09222222222222
2019-10-10 20:40:00,118,66.366,,,,,,19.09222222222222
2019-10-10 20:45:00,119,66.366,,,,,,19.09222222222222
2019-10-10 20:50:00,120,66.366,,,,,,19.09222222222222
2019-10-10 20:55:00,121,66.366,,,,,,19.09222222222222
2019-10-10 21:00:00,122,66.366,,,,,,19.09222222222222
2019-10-10 21:05:00,123,66.366,,,,,,19.09222222222222
2019-10-10 21:10:00,124,66.366,,,,,,19.09222222222222
2019-10-10 21:15:00,125,66.366,,,,,,19.09222222222222
2019-10-10 21:20:00,126,66.366,,,,,,19.09222222222222
2019-10-10 21:25:00,127,66.193,,,,,,18.99611111111111
2019-10-10 21:30:00,128,66.193,,,,,,18.99611111111111
2019-10-10 21:35:00,129,66.02199999999999,,,,,,18.901111111111106
2019-10-10 21:40:00,130,65.851,,,,,,18.80611111111111
2019-10-10 21:45:00,131,65.851,,,,,,18.80611111111111
2019-10-10 21:50:00,132,65.68,,,,,,18.711111111111116
2019-10-10 21:55:00,133,65.509,,,,,,18.616111111111113
2019-10-10 22:00:00,134,65.33800000000001,,,,,,18.521111111111118
2019-10-10 22:05:00,135,65.167,,,,,,18.426111111111112
2019-10-10 22:10:00,136,64.99600000000001,,,,,,18.331111111111117
2019-10-10 22:15:00,137,64.825,,,,,,18.23611111111111
2019-10-10 22:20:00,138,64.825,,,,,,18.23611111111111
2019-10-10 22:25:00,139,64.825,,,,,,18.23611111111111
2019-10-10 22:30:00,140,64.825,,,,,,18.23611111111111
2019-10-10 22:35:00,141,64.652,,,,,,18.14
2019-10-10 22:40:00,142,64.652,,,,,,18.14
2019-10-10 22:45:00,143,64.652,,,,,,18.14
2019-10-10 22:50:00,144,64.48100000000001,,,,,,18.045
2019-10-10 22:55:00,145,64.48100000000001,,,,,,18.045
2019-10-10 23:00:00,146,64.48100000000001,,,,,,18.045
2019-10-10 23:05:00,147,64.48100000000001,,,,,,18.045
2019-10-10 23:10:00,148,64.48100000000001,,,,,,18.045
2019-10-10 23:15:00,149,64.31,,,,,,17.950000000000003
2019-10-10 23:20:00,150,64.31,,,,,,17.950000000000003
2019-10-10 23:25:00,151,64.31,,,,,,17.950000000000003
2019-10-10 23:30:00,152,64.31,,,,,,17.950000000000003
2019-10-10 23:35:00,153,64.31,,,,,,17.950000000000003
2019-10-10 23:40:00,154,64.31,,,,,,17.950000000000003
2019-10-10 23:45:00,155,64.31,,,,,,17.950000000000003
2019-10-10 23:50:00,156,64.31,,,,,,17.950000000000003
2019-10-10 23:55:00,157,64.31,,,,,,17.950000000000003
2019-10-11 00:00:00,158,64.31,,,,,,17.950000000000003
2019-10-11 00:05:00,159,64.31,,,,,,17.950000000000003
2019-10-11 00:10:00,160,64.31,,,,,,17.950000000000003
2019-10-11 00:15:00,161,64.139,,,,,,17.855
2019-10-11 00:20:00,162,64.139,,,,,,17.855
2019-10-11 00:25:00,163,64.139,,,,,,17.855
2019-10-11 00:30:00,164,64.139,,,,,,17.855
2019-10-11 00:35:00,165,64.139,,,,,,17.855
2019-10-11 00:40:00,166,64.139,,,,,,17.855
2019-10-11 00:45:00,167,64.139,,,,,,17.855
2019-10-11 00:50:00,168,64.139,,,,,,17.855
2019-10-11 00:55:00,169,64.139,,,,,,17.855
2019-10-11 01:00:00,170,64.139,,,,,,17.855
2019-10-11 01:05:00,171,64.139,,,,,,17.855
2019-10-11 01:10:00,172,64.139,,,,,,17.855
2019-10-11 01:15:00,173,64.139,,,,,,17.855
2019-10-11 01:20:00,174,64.139,,,,,,17.855
2019-10-11 01:25:00,175,64.139,,,,,,17.855
2019-10-11 01:30:00,176,63.968,,,,,,17.760000000000005
2019-10-11 01:35:00,177,63.968,,,,,,17.760000000000005
2019-10-11 01:40:00,178,63.968,,,,,,17.760000000000005
2019-10-11 01:45:00,179,63.968,,,,,,17.760000000000005
2019-10-11 01:50:00,180,63.968,,,,,,17.760000000000005
2019-10-11 01:55:00,181,63.968,,,,,,17.760000000000005
2019-10-11 02:00:00,182,63.968,,,,,,17.760000000000005
2019-10-11 02:05:00,183,63.968,,,,,,17.760000000000005
2019-10-11 02:10:00,184,63.968,,,,,,17.760000000000005
2019-10-11 02:15:00,185,63.968,,,,,,17.760000000000005
2019-10-11 02:20:00,186,63.968,,,,,,17.760000000000005
2019-10-11 02:25:00,187,63.968,,,,,,17.760000000000005
2019-10-11 02:30:00,188,63.968,,,,,,17.760000000000005
2019-10-11 02:35:00,189,63.968,,,,,,17.760000000000005
2019-10-11 02:40:00,190,63.968,,,,,,17.760000000000005
2019-10-11 02:45:00,191,63.968,,,,,,17.760000000000005
2019-10-11 02:50:00,192,63.968,,,,,,17.760000000000005
2019-10-11 02:55:00,193,63.968,,,,,,17.760000000000005
2019-10-11 03:00:00,194,63.968,,,,,,17.760000000000005
2019-10-11 03:05:00,195,63.797,,,,,,17.665
2019-10-11 03:10:00,196,63.968,,,,,,17.760000000000005
2019-10-11 03:15:00,197,63.797,,,,,,17.665
2019-10-11 03:20:00,198,63.968,,,,,,17.760000000000005
2019-10-11 03:25:00,199,63.797,,,,,,17.665
2019-10-11 03:30:00,200,63.797,,,,,,17.665
2019-10-11 03:35:00,201,63.797,,,,,,17.665
2019-10-11 03:40:00,202,63.797,,,,,,17.665
2019-10-11 03:45:00,203,63.797,,,,,,17.665
2019-10-11 03:50:00,204,63.797,,,,,,17.665
2019-10-11 03:55:00,205,63.797,,,,,,17.665
2019-10-11 04:00:00,206,63.797,,,,,,17.665
2019-10-11 04:05:00,207,63.797,,,,,,17.665
2019-10-11 04:10:00,208,63.797,,,,,,17.665
2019-10-11 04:15:00,209,63.797,,,,,,17.665
2019-10-11 04:20:00,210,63.797,,,,,,17.665
2019-10-11 04:25:00,211,63.797,,,,,,17.665
2019-10-11 04:30:00,212,63.797,,,,,,17.665
2019-10-11 04:35:00,213,63.797,,,,,,17.665
2019-10-11 04:40:00,214,63.797,,,,,,17.665
2019-10-11 04:45:00,215,63.797,,,,,,17.665
2019-10-11 04:50:00,216,63.797,,,,,,17.665
2019-10-11 04:55:00,217,63.797,,,,,,17.665
2019-10-11 05:00:00,218,63.797,,,,,,17.665
2019-10-11 05:05:00,219,63.797,,,,,,17.665
2019-10-11 05:10:00,220,63.797,,,,,,17.665
2019-10-11 05:15:00,221,63.797,,,,,,17.665
2019-10-11 05:20:00,222,63.797,,,,,,17.665
2019-10-11 05:25:00,223,63.797,,,,,,17.665
2019-10-11 05:30:00,224,63.626000000000005,,,,,,17.570000000000004
2019-10-11 05:35:00,225,63.626000000000005,,,,,,17.570000000000004
2019-10-11 05:40:00,226,63.626000000000005,,,,,,17.570000000000004
2019-10-11 05:45:00,227,63.626000000000005,,,,,,17.570000000000004
2019-10-11 05:50:00,228,63.626000000000005,,,,,,17.570000000000004
2019-10-11 05:55:00,229,63.626000000000005,,,,,,17.570000000000004
2019-10-11 06:00:00,230,63.626000000000005,,,,,,17.570000000000004
2019-10-11 06:05:00,231,63.626000000000005,,,,,,17.570000000000004
2019-10-11 06:10:00,232,64.139,,,,,,17.855
2019-10-11 06:15:00,233,65.167,,,,,,18.426111111111112
2019-10-11 06:20:00,234,65.851,,,,,,18.80611111111111
2019-10-11 06:25:00,235,66.193,,,,,,18.99611111111111
2019-10-11 06:30:00,236,66.193,,,,,,18.99611111111111
2019-10-11 06:35:00,237,66.193,,,,,,18.99611111111111
2019-10-11 06:40:00,238,66.02199999999999,,,,,,18.901111111111106
2019-10-11 06:45:00,239,65.851,,,,,,18.80611111111111
2019-10-11 06:50:00,240,65.68,,,,,,18.711111111111116
2019-10-11 06:55:00,241,65.509,,,,,,18.616111111111113
2019-10-11 07:00:00,242,65.33800000000001,,,,,,18.521111111111118
2019-10-11 07:05:00,243,65.33800000000001,,,,,,18.521111111111118
2019-10-11 07:10:00,244,65.167,,,,,,18.426111111111112
2019-10-11 07:15:00,245,64.99600000000001,,,,,,18.331111111111117
2019-10-11 07:20:00,246,64.99600000000001,,,,,,18.331111111111117
2019-10-11 07:25:00,247,64.825,,,,,,18.23611111111111
2019-10-11 07:30:00,248,64.825,,,,,,18.23611111111111
2019-10-11 07:35:00,249,64.825,,,,,,18.23611111111111
2019-10-11 07:40:00,250,64.652,,,,,,18.14
2019-10-11 07:45:00,251,64.652,,,,,,18.14
2019-10-11 07:50:00,252,64.48100000000001,,,,,,18.045
2019-10-11 07:55:00,253,64.48100000000001,,,,,,18.045
2019-10-11 08:00:00,254,64.48100000000001,,,,,,18.045
2019-10-11 08:05:00,255,64.48100000000001,,,,,,18.045
2019-10-11 08:10:00,256,64.31,,,,,,17.950000000000003
2019-10-11 08:15:00,257,64.31,,,,,,17.950000000000003
2019-10-11 08:20:00,258,64.31,,,,,,17.950000000000003
2019-10-11 08:25:00,259,64.31,,,,,,17.950000000000003
2019-10-11 08:30:00,260,64.48100000000001,,,,,,18.045
2019-10-11 08:35:00,261,64.48100000000001,,,,,,18.045
2019-10-11 08:40:00,262,64.652,,,,,,18.14
2019-10-11 08:45:00,263,64.652,,,,,,18.14
2019-10-11 08:50:00,264,64.652,,,,,,18.14
2019-10-11 08:55:00,265,64.652,,,,,,18.14
2019-10-11 09:00:00,266,64.652,,,,,,18.14
2019-10-11 09:05:00,267,64.652,,,,,,18.14
2019-10-11 09:10:00,268,64.652,,,,,,18.14
2019-10-11 09:15:00,269,64.825,,,,,,18.23611111111111
2019-10-11 09:20:00,270,64.825,,,,,,18.23611111111111
2019-10-11 09:25:00,271,64.825,,,,,,18.23611111111111
2019-10-11 09:30:00,272,64.825,,,,,,18.23611111111111
2019-10-11 09:35:00,273,64.825,,,,,,18.23611111111111
2019-10-11 09:40:00,274,64.825,,,,,,18.23611111111111
2019-10-11 09:45:00,275,64.825,,,,,,18.23611111111111
2019-10-11 09:50:00,276,64.825,,,,,,18.23611111111111
2019-10-11 09:55:00,277,64.825,,,,,,18.23611111111111
2019-10-11 10:00:00,278,64.825,,,,,,18.23611111111111
2019-10-11 10:05:00,279,64.825,,,,,,18.23611111111111
2019-10-11 10:10:00,280,64.825,,,,,,18.23611111111111
2019-10-11 10:15:00,281,64.825,,,,,,18.23611111111111
2019-10-11 10:20:00,282,64.825,,,,,,18.23611111111111
2019-10-11 10:25:00,283,64.99600000000001,,,,,,18.331111111111117
2019-10-11 10:30:00,284,64.99600000000001,,,,,,18.331111111111117
2019-10-11 10:35:00,285,65.167,,,,,,18.426111111111112
2019-10-11 10:40:00,286,65.167,,,,,,18.426111111111112
2019-10-11 10:45:00,287,65.167,,,,,,18.426111111111112
2019-10-11 10:50:00,288,65.167,,,,,,18.426111111111112
2019-10-11 10:55:00,289,65.167,,,,,,18.426111111111112
2019-10-11 11:00:00,290,65.167,,,,,,18.426111111111112
2019-10-11 11:05:00,291,65.167,,,,,,18.426111111111112
2019-10-11 11:10:00,292,64.99600000000001,,,,,,18.331111111111117
2019-10-11 11:15:00,293,64.99600000000001,,,,,,18.331111111111117
2019-10-11 11:20:00,294,64.99600000000001,,,,,,18.331111111111117
2019-10-11 11:25:00,295,64.99600000000001,,,,,,18.331111111111117
2019-10-11 11:30:00,296,65.167,,,,,,18.426111111111112
2019-10-11 11:35:00,297,64.99600000000001,,,,,,18.331111111111117
2019-10-11 11:40:00,298,64.99600000000001,,,,,,18.331111111111117
2019-10-11 11:45:00,299,64.99600000000001,,,,,,18.331111111111117
2019-10-11 11:50:00,300,64.99600000000001,,,,,,18.331111111111117
2019-10-11 11:55:00,301,64.99600000000001,,,,,,18.331111111111117
2019-10-11 12:00:00,302,64.99600000000001,,,,,,18.331111111111117
2019-10-11 12:05:00,303,64.99600000000001,,,,,,18.331111111111117
2019-10-11 12:10:00,304,64.825,,,,,,18.23611111111111
2019-10-11 12:15:00,305,64.825,,,,,,18.23611111111111
2019-10-11 12:20:00,306,64.825,,,,,,18.23611111111111
2019-10-11 12:25:00,307,64.825,,,,,,18.23611111111111
2019-10-11 12:30:00,308,64.825,,,,,,18.23611111111111
2019-10-11 12:35:00,309,64.825,,,,,,18.23611111111111
2019-10-11 12:40:00,310,64.825,,,,,,18.23611111111111
2019-10-11 12:45:00,311,64.825,,,,,,18.23611111111111
2019-10-11 12:50:00,312,64.825,,,,,,18.23611111111111
2019-10-11 12:55:00,313,64.825,,,,,,18.23611111111111
2019-10-11 13:00:00,314,64.825,,,,,,18.23611111111111
2019-10-11 13:05:00,315,64.825,,,,,,18.23611111111111
2019-10-11 13:10:00,316,64.825,,,,,,18.23611111111111
2019-10-11 13:15:00,317,64.825,,,,,,18.23611111111111
2019-10-11 13:20:00,318,64.825,,,,,,18.23611111111111
2019-10-11 13:25:00,319,64.825,,,,,,18.23611111111111
2019-10-11 13:30:00,320,64.825,,,,,,18.23611111111111
2019-10-11 13:35:00,321,64.825,,,,,,18.23611111111111
2019-10-11 13:40:00,322,64.825,,,,,,18.23611111111111
2019-10-11 13:45:00,323,64.825,,,,,,18.23611111111111
2019-10-11 13:50:00,324,64.825,,,,,,18.23611111111111
2019-10-11 13:55:00,325,64.825,,,,,,18.23611111111111
2019-10-11 14:00:00,326,64.825,,,,,,18.23611111111111
2019-10-11 14:05:00,327,64.825,,,,,,18.23611111111111
2019-10-11 14:10:00,328,64.99600000000001,,,,,,18.331111111111117
2019-10-11 14:15:00,329,64.99600000000001,,,,,,18.331111111111117
2019-10-11 14:20:00,330,64.99600000000001,,,,,,18.331111111111117
2019-10-11 14:25:00,331,64.99600000000001,,,,,,18.331111111111117
2019-10-11 14:30:00,332,64.99600000000001,,,,,,18.331111111111117
2019-10-11 14:35:00,333,64.99600000000001,,,,,,18.331111111111117
2019-10-11 14:40:00,334,65.167,,,,,,18.426111111111112
2019-10-11 14:45:00,335,65.167,,,,,,18.426111111111112
2019-10-11 14:50:00,336,65.167,,,,,,18.426111111111112
2019-10-11 14:55:00,337,65.167,,,,,,18.426111111111112
2019-10-11 15:00:00,338,65.33800000000001,,,,,,18.521111111111118
2019-10-11 15:05:00,339,65.33800000000001,,,,,,18.521111111111118
2019-10-11 15:10:00,340,65.33800000000001,,,,,,18.521111111111118
2019-10-11 15:15:00,341,65.167,,,,,,18.426111111111112
2019-10-11 15:20:00,342,65.33800000000001,,,,,,18.521111111111118
2019-10-11 15:25:00,343,65.33800000000001,,,,,,18.521111111111118
2019-10-11 15:30:00,344,65.33800000000001,,,,,,18.521111111111118
2019-10-11 15:35:00,345,65.33800000000001,,,,,,18.521111111111118
2019-10-11 15:40:00,346,65.33800000000001,,,,,,18.521111111111118
2019-10-11 15:45:00,347,65.33800000000001,,,,,,18.521111111111118
2019-10-11 15:50:00,348,65.33800000000001,,,,,,18.521111111111118
2019-10-11 15:55:00,349,65.33800000000001,,,,,,18.521111111111118
2019-10-11 16:00:00,350,65.167,,,,,,18.426111111111112
2019-10-11 16:05:00,351,65.167,,,,,,18.426111111111112
2019-10-11 16:10:00,352,64.99600000000001,,,,,,18.331111111111117
2019-10-11 16:15:00,353,65.167,,,,,,18.426111111111112
2019-10-11 16:20:00,354,65.167,,,,,,18.426111111111112
2019-10-11 16:25:00,355,65.167,,,,,,18.426111111111112
2019-10-11 16:30:00,356,65.167,,,,,,18.426111111111112
2019-10-11 16:35:00,357,65.167,,,,,,18.426111111111112
2019-10-11 16:40:00,358,65.509,,,,,,18.616111111111113
2019-10-11 16:45:00,359,66.02199999999999,,,,,,18.901111111111106
2019-10-11 16:50:00,360,66.366,,,,,,19.09222222222222
2019-10-11 16:55:00,361,66.53699999999999,,,,,,19.187222222222218
2019-10-11 17:00:00,362,66.53699999999999,,,,,,19.187222222222218
2019-10-11 17:05:00,363,66.366,,,,,,19.09222222222222
2019-10-11 17:10:00,364,66.366,,,,,,19.09222222222222
2019-10-11 17:15:00,365,66.193,,,,,,18.99611111111111
2019-10-11 17:20:00,366,66.193,,,,,,18.99611111111111
2019-10-11 17:25:00,367,66.02199999999999,,,,,,18.901111111111106
2019-10-11 17:30:00,368,66.02199999999999,,,,,,18.901111111111106
2019-10-11 17:35:00,369,66.02199999999999,,,,,,18.901111111111106
2019-10-11 17:40:00,370,66.02199999999999,,,,,,18.901111111111106
2019-10-11 17:45:00,371,66.02199999999999,,,,,,18.901111111111106
2019-10-11 17:50:00,372,66.02199999999999,,,,,,18.901111111111106
2019-10-11 17:55:00,373,66.193,,,,,,18.99611111111111
2019-10-11 18:00:00,374,66.193,,,,,,18.99611111111111
2019-10-11 18:05:00,375,66.193,,,,,,18.99611111111111
2019-10-11 18:10:00,376,66.193,,,,,,18.99611111111111
2019-10-11 18:15:00,377,66.193,,,,,,18.99611111111111
2019-10-11 18:20:00,378,66.193,,,,,,18.99611111111111
2019-10-11 18:25:00,379,66.193,,,,,,18.99611111111111
2019-10-11 18:30:00,380,66.366,,,,,,19.09222222222222
2019-10-11 18:35:00,381,66.366,,,,,,19.09222222222222
2019-10-11 18:40:00,382,66.53699999999999,,,,,,19.187222222222218
2019-10-11 18:45:00,383,66.53699999999999,,,,,,19.187222222222218
2019-10-11 18:50:00,384,66.53699999999999,,,,,,19.187222222222218
2019-10-11 18:55:00,385,66.53699999999999,,,,,,19.187222222222218
2019-10-11 19:00:00,386,66.53699999999999,,,,,,19.187222222222218
2019-10-11 19:05:00,387,66.53699999999999,,,,,,19.187222222222218
2019-10-11 19:10:00,388,66.53699999999999,,,,,,19.187222222222218
2019-10-11 19:15:00,389,66.53699999999999,,,,,,19.187222222222218
2019-10-11 19:20:00,390,66.53699999999999,,,,,,19.187222222222218
2019-10-11 19:25:00,391,66.53699999999999,,,,,,19.187222222222218
2019-10-11 19:30:00,392,66.708,,,,,,19.28222222222222
2019-10-11 19:35:00,393,66.53699999999999,,,,,,19.187222222222218
2019-10-11 19:40:00,394,66.53699999999999,,,,,,19.187222222222218
2019-10-11 19:45:00,395,66.53699999999999,,,,,,19.187222222222218
2019-10-11 19:50:00,396,66.53699999999999,,,,,,19.187222222222218
2019-10-11 19:55:00,397,66.53699999999999,,,,,,19.187222222222218
2019-10-11 20:00:00,398,66.53699999999999,,,,,,19.187222222222218
2019-10-11 20:05:00,399,66.366,,,,,,19.09222222222222
2019-10-11 20:10:00,400,66.366,,,,,,19.09222222222222
2019-10-11 20:15:00,401,66.366,,,,,,19.09222222222222
2019-10-11 20:20:00,402,66.193,,,,,,18.99611111111111
2019-10-11 20:25:00,403,65.851,,,,,,18.80611111111111
2019-10-11 20:30:00,404,65.68,,,,,,18.711111111111116
2019-10-11 20:35:00,405,65.509,,,,,,18.616111111111113
2019-10-11 20:40:00,406,65.851,,,,,,18.80611111111111
2019-10-11 20:45:00,407,66.87899999999999,,,,,,19.377222222222215
2019-10-11 20:50:00,408,67.735,,,,,,19.852777777777778
2019-10-11 20:55:00,409,68.592,,,,,,20.328888888888887
2019-10-11 21:00:00,410,68.934,,,,,,20.51888888888889
2019-10-11 21:05:00,411,69.107,,,,,,20.615
2019-10-11 21:10:00,412,68.934,,,,,,20.51888888888889
2019-10-11 21:15:00,413,68.592,,,,,,20.328888888888887
2019-10-11 21:20:00,414,68.421,,,,,,20.23388888888889
2019-10-11 21:25:00,415,68.077,,,,,,20.042777777777776
2019-10-11 21:30:00,416,68.077,,,,,,20.042777777777776
2019-10-11 21:35:00,417,67.906,,,,,,19.94777777777778
2019-10-11 21:40:00,418,67.564,,,,,,19.757777777777775
2019-10-11 21:45:00,419,67.392,,,,,,19.66222222222222
2019-10-11 21:50:00,420,67.221,,,,,,19.567222222222224
2019-10-11 21:55:00,421,66.87899999999999,,,,,,19.377222222222215
2019-10-11 22:00:00,422,66.87899999999999,,,,,,19.377222222222215
2019-10-11 22:05:00,423,66.708,,,,,,19.28222222222222
2019-10-11 22:10:00,424,66.53699999999999,,,,,,19.187222222222218
2019-10-11 22:15:00,425,66.366,,,,,,19.09222222222222
